id,What is your age?,What is your gender?,What is your current major or job field?,What is your current role?,How many years of programming experience do you have?,Languages_Used,Python_Community_Support,Python_Optimization_Challenges,Python_Learning_Challenges,Java_Community_Support,Java_Optimization_Challenges,Java_Learning_Challenges,R_Community_Support,R_Optimization_Challenges,R_Learning_Challenges,Which language do you use most frequently?,  Which language do you prefer for the following tasks?   [Data Science & Machine Learning],  Which language do you prefer for the following tasks?   [Web Development],  Which language do you prefer for the following tasks?   [Mobile App Development],  Which language do you prefer for the following tasks?   [Enterprise Applications],  Which language do you prefer for the following tasks?   [Statistical Analysis],How often do you switch between these languages?,Which language do you perceive as the most efficient for your tasks?,Python_Execution_Speed,R_Execution_Speed,Java_Execution_Speed,Python_Ease_of_Use,R_Ease_of_Use,Java_Ease_of_Use,Python_Documentation,R_Documentation,Java_Documentation,Python_Concurrency_Features,R_Concurrency_Features,Java_Concurrency_Features,Python_Readability,R_Readability,Java_Readability,"How often do you seek help from online resources (e.g., Stack Overflow, official documentation)?",Which language do you think will dominate the job market in the next 5 years?,"If you could only use one of these three languages for all future projects, which would you choose and why?",Thank you for filling out our form! <3,Timestamp,Which language was the easiest for you to learn?,Which language has the most beginner-friendly documentation and learning resources?,"In your field, which language is the most commonly used?",Which language do you believe is most in demand for jobs?,Which language would you recommend for someone entering your industry?,Have you ever contributed to an open-source project in any of these languages?,What do you think is the biggest advantage of your preferred language?,Would you recommend learning another language? Why?,Have you ever had to switch from one of these languages to another due to project requirements? Why?
138.0,18-24,Male,i work as a software engineer mostly in java so my profession is related to computer science and development pretty directly,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,2.0,garbage collection and understanding the jvm are real headaches often,understanding the verbose syntax was tough,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Python,Java,Python,2,Python,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,1.0,1,Python,java's my comfort zone so it's the choice for me i'm familiar and efficient with it already,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
148.0,18-24,Male,software development is where i currently work using java and i'm really enjoying the challenges involved in the field,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,4.0,garbage collection's pauses and understanding the jvm's behavior often slow down java performance tuning efforts,initial hurdle was definitely understanding the object-oriented concepts then the sheer verbosity was tough sometimes,Not Applicable,Not Applicable,Not Applicable,Python,R,Python,Java,Python,R,4,Python,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,3.0,4,Python,java because its solid reliable and has the tooling i already know,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
151.0,18-24,Male,software development is my focus now,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,1.0,garbage collection is a constant struggle and tuning the jvm feels like a dark art for getting java faster.,dealing with the verbosity and strict syntax initially slowed down my java learning process quite a bit,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Java,R,Python,2,It depends,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,5.0,4,Python,java is versatile enough i'd stick with it for everything all future projects easily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
154.0,18-24,Female,software development specifically using java for most projects lately,Student,7+ years,Java,Not Applicable,Not Applicable,Not Applicable,5.0,garbage collection overhead and memory leaks constantly complicate java performance tuning efforts,the initial setup was really confusing especially the class structure and understanding all the boilerplate code at first,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Python,Python,R,3,Python,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,3.0,2,Python,java every time for flexibility and tools,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
156.0,18-24,Female,software development is my current profession mostly,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,1.0,garbage collection tuning and memory leaks always cause issues,honestly the strict syntax and verbosity slowed my progress down,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Java,R,Python,2,Python,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,2.0,3,Python,"java is my solid, reliable go-to",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
157.0,18-24,Female,i'm a software developer right now focused mostly on backend systems using the java language,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,1.0,garbage collection and memory management definitely cause some headaches sometimes,the initial hurdles for me involved understanding the very specific syntax and grasping object-oriented principles early on.,Not Applicable,Not Applicable,Not Applicable,Java,Python,R,Java,R,Python,3,Python,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,2,Python,java's my pick for sure it's robust and has amazing job prospects,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
159.0,18-24,Male,software development is my main focus with java being the primary language i work with daily,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,4.0,garbage collection overhead and memory allocation are consistently my biggest java performance optimization hurdles to overcome i think,understanding object-oriented concepts initially felt tricky especially the complex inheritance stuff it took time,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Python,Python,R,1,It depends,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,2.0,4,Python,java its versatility and maturity make it the most sensible choice for me always,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
162.0,18-24,Female,software development is my profession currently i specialize in java primarily though other languages sometimes come into play,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,3.0,seed: 13840 memory management and garbage collection are always tricky plus understanding jvm internals is hard,understanding the object-oriented paradigm and its intricate concepts took quite some time,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Java,Python,Python,2,Python,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,3.0,4,Python,java offers the flexibility i need for various project types of course,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
163.0,18-24,Male,software engineering i suppose these days,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,3.0,garbage collection and memory usage are constant struggles,dealing with the verbosity and the steep initial learning curve,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Java,Python,Python,2,Python,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,5.0,3,Python,java is the best option because of its versatility and my existing comfort level i guess.,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
172.0,18-24,Female,i'm currently employed as a software engineer and use java regularly for developing applications mostly backend stuff.,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,3.0,garbage collection is a persistent pain as are excessive object allocations constantly slowing everything down and driving me nuts.,wrapping my head around the rigid syntax and the sheer volume of available libraries was tough going,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,R,Java,Python,2,Python,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,5.0,3,Python,java is my pick it handles most things well and i know it the best so that's an easy call really,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
174.0,18-24,Female,software development i am using java for my current occupation,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,5.0,gc tuning and memory leaks are the biggest headaches i encounter.,initial setup was the hardest and remembering all the weird syntax rules definitely took time learning java was a struggle,Not Applicable,Not Applicable,Not Applicable,Python,Java,Java,Python,Java,Python,2,Python,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,4.0,4,R,java's most versatile and reliable for me,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
183.0,18-24,Male,software development is the gig i'm in right now using java mostly for a pretty cool project,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,3.0,jvm tuning is always a headache memory management can also get really tricky especially in larger projects,the verbose syntax and boilerplate code were annoying,Not Applicable,Not Applicable,Not Applicable,Python,Python,R,Python,Java,Java,2,It depends,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,2.0,5,Python,java probably its versatile and i know it the best so that's definitely the safe bet for me i guess,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
185.0,18-24,Female,software development mostly java these days,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,3.0,jvm overhead and garbage collection woes,seed: 74153  memory management and understanding the class structure initially tripped me up,Not Applicable,Not Applicable,Not Applicable,Java,Python,Python,Python,Java,R,2,It depends,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,3.0,5,Python,java still feels most versatile for me i'd stick with it,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
186.0,18-24,Male,software development is my main gig working mostly with java these days coding applications,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,4.0,garbage collection and memory leaks are constant performance headaches i face,understanding object oriented concepts and the syntax was tricky,Not Applicable,Not Applicable,Not Applicable,Java,Java,Python,Python,Python,R,3,It depends,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,4.0,4,Python,java's versatility and my experience make it my only choice,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
195.0,18-24,Male,software development is my current work using mainly java day to day,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,1.0,garbage collection still trips me up sometimes and i am also always fighting memory leaks and overhead from abstractions,figuring out all the classes and inheritance definitely gave me a headache when i was first starting with java,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Python,Python,Python,4,It depends,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,1.0,4,Python,java's my pick for everything its versatility is unmatched,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
198.0,18-24,Female,software engineering is my current focus and involves a lot of java programming these days for sure,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,1.0,garbage collection unpredictability and understanding jvm internals are tough areas,memory management and understanding the complex class structure,Not Applicable,Not Applicable,Not Applicable,Java,Python,Java,Java,Java,Python,3,It depends,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,4.0,2,Python,java i'd stick with what i know its versatility is hard to beat honestly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
200.0,18-24,Female,software engineering i focus on backend development with java it's my bread and butter for now in my career,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,1.0,garbage collection overhead is consistently annoying and tuning the jvm's settings is tricky honestly,that java syntax curve was steep plus figuring out all the nuances of the jvm took a while,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Java,Java,Python,2,Python,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,1.0,4,Python,java's stability wins i will always pick it,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
206.0,18-24,Male,software development is my job right now i mostly build backend systems with java day in and day out,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,3.0,garbage collection hiccups and memory leaks always make java performance tuning a real headache i'd say,seed: 88861 understanding the object-oriented stuff took a good while honestly,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Java,R,R,3,It depends,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,1.0,3,Python,i'd stick with java its versatility is unmatched and i'm most comfortable with its ecosystem honestly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
213.0,18-24,Male,software development is my current job mostly focused on enterprise applications using java as the primary tool,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,2.0,garbage collection's unpredictability and complex multithreading issues are frequent performance hurdles i see,dealing with java's verbosity and all the boilerplate code was definitely a major hurdle when i started out,Not Applicable,Not Applicable,Not Applicable,Java,Python,Java,Python,Python,Python,2,Python,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,4.0,4,Python,java offers the most job security,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
217.0,18-24,Male,software development for enterprise applications that is what pays the bills currently using java you know,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,4.0,memory management is a constant headache and the jvm can sometimes be unpredictable for tuning performance i'd say,understanding the verbose syntax and the intricacies of object-oriented concepts initially felt overwhelming,Not Applicable,Not Applicable,Not Applicable,Java,R,Python,Java,Python,R,1,R,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,2.0,4,Python,java's versatility suits all my future needs,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
222.0,18-24,Male,software development is my current job i work with java and build applications for several clients its pretty great,Student,7+ years,Java,Not Applicable,Not Applicable,Not Applicable,5.0,garbage collection is always a pain plus the initial jvm startup time is killer,understanding the verbose syntax was the hardest part,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Java,Java,Python,3,Python,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,3.0,4,Python,i'd stick with java its versatility and robust ecosystem make it my go-to even with other tempting options,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
223.0,18-24,Female,currently i'm a software developer my work involves primarily back-end systems using java and related technologies,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,1.0,hotspots behavior sometimes feels mysterious also garbage collection can unexpectedly stall things making it tricky,seed: 48573  honestly the setup was rough and getting all the syntax right felt overwhelming at first plus the error messages were cryptic,Not Applicable,Not Applicable,Not Applicable,Java,Python,Java,Python,R,R,5,Python,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,1.0,4,Python,i'd stick with java its versatile familiar and has a huge ecosystem supporting various development needs no question.,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
228.0,18-24,Female,software development is what i do so i'm a programmer using java mostly building applications that are actually useful,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,5.0,garbage collection is always a headache and so is dealing with memory leaks ugh,grasping the intricacies of the inheritance and generics was a struggle initially,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Python,Python,Python,4,Python,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,5.0,4,Python,java's a solid choice i'd stick with it for versatility and job prospects,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
231.0,18-24,Female,software development that's my gig,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,3.0,garbage collection's unpredictability and figuring out hotspots in complex java applications are my biggest hurdles,understanding all the class hierarchy was hard,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Java,Python,Python,4,Python,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,3.0,5,Python,java for sure its what i know best and gets the job done,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
236.0,18-24,Male,computer science student heavily focused on software development using java,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,5.0,garbage collection tuning and memory leaks always slow things down sometimes,dealing with the verbose syntax and the intricacies of the class system was hard,Not Applicable,Not Applicable,Not Applicable,Python,Java,Python,Java,Java,R,4,Python,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,2.0,5,Python,java all the way i know it,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
239.0,18-24,Female,software engineering is what i am currently employed in i mostly code in java,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,3.0,garbage collection overhead and memory leaks really slow things down,okay here's the response:  memory management and understanding the complex class hierarchy were tough java hurdles early on for me,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Python,Python,R,2,Python,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,3.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,2.0,3,Python,java its my go-to for most things plus the ecosystem is massive and reliable for various projects i'm working on,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
240.0,18-24,Female,software development i mainly use java day to day,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,1.0,garbage collection tuning and understanding the jvm's behavior are often the trickiest hurdles for me honestly,honestly the verbosity and the complex ecosystem were really tough at first,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Python,Python,Java,3,Python,Not Applicable,Not Applicable,4.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,1.0,3,Python,java because it handles everything and i already know it,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
247.0,18-24,Male,i work in software engineering developing applications a java developer that is what i do right now,Student,7+ years,Java,Not Applicable,Not Applicable,Not Applicable,4.0,garbage collection overhead is often a killer,the initial learning curve felt steep the object-oriented concepts took some time to click and the verbosity was annoying sometimes,Not Applicable,Not Applicable,Not Applicable,All equally,Python,Java,Python,Java,Python,2,Python,Not Applicable,Not Applicable,2.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,3.0,4,Python,java is my go-to i know it well and it handles most things i need plus the ecosystem is huge,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Not Applicable,18-24,Female,Clinical pharmacists ,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,1.0,The biggest challenge in optimizing Java performance is managing memory efficiently while balancing speed,The biggest challenge in learning Java is understanding object-oriented programming concepts,Not Applicable,Not Applicable,Not Applicable,Java,Java,Python,Python,R,R,2,Python,2.0,1.0,4.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2,Python,Java,Not Applicable,2025/03/09 6:44:15 PM GMT+2,Java,Java,Python,Java,Java,Yes,"The biggest advantage of Java is its platform independenceââwrite once, run anywhere.","Yes, learning another language is beneficial because it expands problem-solving skills and adaptability.","Yes, switching languages due to project requirements happens when performance, compatibility, or specific frameworks demand it"
Not Applicable,18-24,Female,Medicine ,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,4.0,No,No,Not Applicable,Not Applicable,Not Applicable,Java,Java,R,Java,Java,Python,2,It depends,3.0,4.0,4.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Java,Java,Not Applicable,2025/03/09 7:06:57 PM GMT+2,Java,R,Java,No preference,Depends on the role,Planning to,No,Yes ,Yes
Not Applicable,18-24,Female,Student in veterinary medicine ,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,5.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Java,Not Applicable,Java,Java,R,Java,2,Java,4.0,4.0,5.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3,Not Applicable,Not Applicable,Not Applicable,2025/03/09 7:34:13 PM GMT+2,Not Applicable,Java,Java,Java,Java,Yes,Not Applicable,Not Applicable,Not Applicable
Not Applicable,18-24,Female,Medical student ,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,5.0,Honestly it was easy for me ,Trying to get every point which was a lot  ,Not Applicable,Not Applicable,Not Applicable,Java,Java,Python,R,R,Java,3,It depends,4.0,3.0,4.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Not Applicable,Not Applicable,Not Applicable,2025/03/09 9:29:42 PM GMT+2,Java,Java,Java,Java,Python,Yes,Not Applicable,Not Applicable,Not Applicable
Not Applicable,18-24,Male,programming,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,3.0,code writing difficulty,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Python,Python,Python,Python,Python,Python,3,Python,5.0,5.0,3.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2,Python,Not Applicable,Not Applicable,2025/03/09 10:06:16 PM GMT+2,Python,Python,Python,Python,Python,No,Not Applicable,Not Applicable,Not Applicable
Not Applicable,18-24,Female,Data science ,Student,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,3.0,Resources of practical training ,Problem solving with it,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Java,Python,Python,2,It depends,4.0,3.0,3.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Python,Python ,Not Applicable,2025/03/10 12:27:05 AM GMT+2,Python,Python,Python,Python,Java,No,Easy to learn,C++ because it is best for hardware ,Yes due to the type of project 
Not Applicable,25-34,Male,Accounting manager ,Analyst,Less than 1 year,Java,Not Applicable,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Java,Python,R,Java,Python,Java,1,It depends,1.0,1.0,2.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3,Python,Not Applicable,Not Applicable,2025/03/10 4:46:01 PM GMT+2,Java,Java,Python,Python,Depends on the role,Yes,Not Applicable,Not Applicable,Not Applicable
Not Applicable,18-24,Female,Computer science ,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,4.0,There isn't lists ,That it's a low level programming ,Not Applicable,Not Applicable,Not Applicable,Python,Python,Java,Java,Python,R,4,Python,5.0,4.0,3.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3,Python,Python due to its simplicity ,Not Applicable,2025/03/10 5:07:52 PM GMT+2,Python,Python,Python,Python,Java,No,Fast easy and understandable syntax,Java because it makes you understand programming and computer well,"Yes if it's a project that needs visualization or graphs , python is more useful"
Not Applicable,18-24,Male,..,Student,1-3 years,Java,Not Applicable,Not Applicable,Not Applicable,1.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Python,Python,Not Applicable,Java,Java,Python,5,It depends,1.0,1.0,1.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Not Applicable,Not Applicable,Not Applicable,2025/03/10 5:12:07 PM GMT+2,Python,Python,All equally,No preference,Depends on the role,Yes,Not Applicable,Not Applicable,Not Applicable
